Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.768271e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011566 | lrm: 1.00 | dt: 18850ms | tok/sec: 6,953 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.153020 | lrm: 1.00 | dt: 289ms | tok/sec: 453,530 | mfu: 12.7% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.960400 | lrm: 1.00 | dt: 198ms | tok/sec: 662,221 | mfu: 18.5% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.769751 | lrm: 1.00 | dt: 198ms | tok/sec: 662,332 | mfu: 18.5% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.392467 | lrm: 1.00 | dt: 199ms | tok/sec: 657,494 | mfu: 18.4% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.067028 | lrm: 1.00 | dt: 200ms | tok/sec: 656,020 | mfu: 18.4% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.795482 | lrm: 1.00 | dt: 198ms | tok/sec: 661,689 | mfu: 18.5% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.560696 | lrm: 1.00 | dt: 199ms | tok/sec: 658,224 | mfu: 18.4% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.357555 | lrm: 1.00 | dt: 199ms | tok/sec: 659,752 | mfu: 18.5% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.174063 | lrm: 1.00 | dt: 201ms | tok/sec: 653,441 | mfu: 18.3% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.008564 | lrm: 1.00 | dt: 200ms | tok/sec: 654,641 | mfu: 18.3% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.860415 | lrm: 1.00 | dt: 200ms | tok/sec: 656,464 | mfu: 18.4% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.731371 | lrm: 1.00 | dt: 199ms | tok/sec: 658,892 | mfu: 18.4% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.615690 | lrm: 1.00 | dt: 201ms | tok/sec: 653,672 | mfu: 18.3% | epoch: 1 | remaining: 299s    
step 00031 (1.3%) | loss: 5.658728 | lrm: 1.00 | dt: 200ms | tok/sec: 653,944 | mfu: 18.3% | epoch: 1 | remaining: 296s    
step 00032 (1.4%) | loss: 5.630647 | lrm: 1.00 | dt: 200ms | tok/sec: 655,261 | mfu: 18.3% | epoch: 1 | remaining: 296s    
step 00033 (1.5%) | loss: 5.607918 | lrm: 1.00 | dt: 200ms | tok/sec: 654,146 | mfu: 18.3% | epoch: 1 | remaining: 295s    
step 00034 (1.5%) | loss: 5.581467 | lrm: 1.00 | dt: 200ms | tok/sec: 655,541 | mfu: 18.3% | epoch: 1 | remaining: 295s    
step 00035 (1.6%) | loss: 5.557376 | lrm: 1.00 | dt: 201ms | tok/sec: 650,697 | mfu: 18.2% | epoch: 1 | remaining: 295s    
step 00036 (1.7%) | loss: 5.536858 | lrm: 1.00 | dt: 200ms | tok/sec: 653,798 | mfu: 18.3% | epoch: 1 | remaining: 295s    
step 00037 (1.7%) | loss: 5.512129 | lrm: 1.00 | dt: 200ms | tok/sec: 654,268 | mfu: 18.3% | epoch: 1 | remaining: 295s    
step 00038 (1.8%) | loss: 5.489689 | lrm: 1.00 | dt: 200ms | tok/sec: 656,974 | mfu: 18.4% | epoch: 1 | remaining: 294s    
step 00039 (1.9%) | loss: 5.466969 | lrm: 1.00 | dt: 201ms | tok/sec: 651,695 | mfu: 18.2% | epoch: 1 | remaining: 294s    
step 00040 (1.9%) | loss: 5.444268 | lrm: 1.00 | dt: 202ms | tok/sec: 649,004 | mfu: 18.2% | epoch: 1 | remaining: 294s    
step 00041 (2.0%) | loss: 5.423164 | lrm: 1.00 | dt: 201ms | tok/sec: 651,201 | mfu: 18.2% | epoch: 1 | remaining: 294s    
step 00042 (2.1%) | loss: 5.404649 | lrm: 1.00 | dt: 200ms | tok/sec: 653,825 | mfu: 18.3% | epoch: 1 | remaining: 294s    
step 00043 (2.1%) | loss: 5.382071 | lrm: 1.00 | dt: 200ms | tok/sec: 655,147 | mfu: 18.3% | epoch: 1 | remaining: 293s    
step 00044 (2.2%) | loss: 5.363464 | lrm: 1.00 | dt: 202ms | tok/sec: 650,024 | mfu: 18.2% | epoch: 1 | remaining: 293s    
step 00045 (2.3%) | loss: 5.347277 | lrm: 1.00 | dt: 202ms | tok/sec: 648,690 | mfu: 18.1% | epoch: 1 | remaining: 293s    
step 00046 (2.3%) | loss: 5.331022 | lrm: 1.00 | dt: 200ms | tok/sec: 656,673 | mfu: 18.4% | epoch: 1 | remaining: 293s    
step 00047 (2.4%) | loss: 5.312095 | lrm: 1.00 | dt: 201ms | tok/sec: 653,606 | mfu: 18.3% | epoch: 1 | remaining: 293s    
step 00048 (2.5%) | loss: 5.294924 | lrm: 1.00 | dt: 199ms | tok/sec: 657,318 | mfu: 18.4% | epoch: 1 | remaining: 292s    
step 00049 (2.5%) | loss: 5.278172 | lrm: 1.00 | dt: 202ms | tok/sec: 650,309 | mfu: 18.2% | epoch: 1 | remaining: 292s    
step 00050 (2.6%) | loss: 5.260790 | lrm: 1.00 | dt: 201ms | tok/sec: 651,106 | mfu: 18.2% | epoch: 1 | remaining: 292s    
step 00051 (2.7%) | loss: 5.241397 | lrm: 1.00 | dt: 201ms | tok/sec: 653,508 | mfu: 18.3% | epoch: 1 | remaining: 292s    
step 00052 (2.7%) | loss: 5.220440 | lrm: 1.00 | dt: 201ms | tok/sec: 651,798 | mfu: 18.2% | epoch: 1 | remaining: 292s    
step 00053 (2.8%) | loss: 5.205430 | lrm: 1.00 | dt: 201ms | tok/sec: 652,663 | mfu: 18.3% | epoch: 1 | remaining: 291s    
step 00054 (2.9%) | loss: 5.187689 | lrm: 1.00 | dt: 202ms | tok/sec: 650,430 | mfu: 18.2% | epoch: 1 | remaining: 291s    
step 00055 (2.9%) | loss: 5.170229 | lrm: 1.00 | dt: 201ms | tok/sec: 653,633 | mfu: 18.3% | epoch: 1 | remaining: 291s    
step 00056 (3.0%) | loss: 5.153443 | lrm: 1.00 | dt: 202ms | tok/sec: 650,173 | mfu: 18.2% | epoch: 1 | remaining: 291s    
step 00057 (3.1%) | loss: 5.139542 | lrm: 1.00 | dt: 202ms | tok/sec: 649,031 | mfu: 18.2% | epoch: 1 | remaining: 291s    
step 00058 (3.1%) | loss: 5.127452 | lrm: 1.00 | dt: 201ms | tok/sec: 651,104 | mfu: 18.2% | epoch: 1 | remaining: 290s    
step 00059 (3.2%) | loss: 5.108884 | lrm: 1.00 | dt: 201ms | tok/sec: 650,942 | mfu: 18.2% | epoch: 1 | remaining: 290s    
step 00060 (3.3%) | loss: 5.092642 | lrm: 1.00 | dt: 201ms | tok/sec: 653,675 | mfu: 18.3% | epoch: 1 | remaining: 290s    
step 00061 (3.3%) | loss: 5.071268 | lrm: 1.00 | dt: 202ms | tok/sec: 647,889 | mfu: 18.1% | epoch: 1 | remaining: 290s    
step 00062 (3.4%) | loss: 5.055084 | lrm: 1.00 | dt: 201ms | tok/sec: 652,549 | mfu: 18.3% | epoch: 1 | remaining: 290s    
step 00063 (3.5%) | loss: 5.040963 | lrm: 1.00 | dt: 202ms | tok/sec: 649,675 | mfu: 18.2% | epoch: 1 | remaining: 289s    
step 00064 (3.5%) | loss: 5.027375 | lrm: 1.00 | dt: 203ms | tok/sec: 646,162 | mfu: 18.1% | epoch: 1 | remaining: 289s    
step 00065 (3.6%) | loss: 5.012432 | lrm: 1.00 | dt: 201ms | tok/sec: 650,554 | mfu: 18.2% | epoch: 1 | remaining: 289s    
step 00066 (3.7%) | loss: 4.995931 | lrm: 1.00 | dt: 200ms | tok/sec: 655,143 | mfu: 18.3% | epoch: 1 | remaining: 289s    
step 00067 (3.7%) | loss: 4.983992 | lrm: 1.00 | dt: 200ms | tok/sec: 654,380 | mfu: 18.3% | epoch: 1 | remaining: 289s    
step 00068 (3.8%) | loss: 4.970391 | lrm: 1.00 | dt: 212ms | tok/sec: 618,538 | mfu: 17.3% | epoch: 1 | remaining: 288s    
step 00069 (3.9%) | loss: 4.953272 | lrm: 1.00 | dt: 201ms | tok/sec: 651,543 | mfu: 18.2% | epoch: 1 | remaining: 288s    
step 00070 (4.0%) | loss: 4.940179 | lrm: 1.00 | dt: 202ms | tok/sec: 648,171 | mfu: 18.1% | epoch: 1 | remaining: 288s    
step 00071 (4.0%) | loss: 4.921314 | lrm: 1.00 | dt: 201ms | tok/sec: 652,014 | mfu: 18.2% | epoch: 1 | remaining: 288s    
step 00072 (4.1%) | loss: 4.908207 | lrm: 1.00 | dt: 203ms | tok/sec: 644,613 | mfu: 18.0% | epoch: 1 | remaining: 288s    
step 00073 (4.2%) | loss: 4.891452 | lrm: 1.00 | dt: 202ms | tok/sec: 648,209 | mfu: 18.1% | epoch: 1 | remaining: 287s    
step 00074 (4.2%) | loss: 4.879038 | lrm: 1.00 | dt: 202ms | tok/sec: 649,063 | mfu: 18.2% | epoch: 1 | remaining: 287s    
step 00075 (4.3%) | loss: 4.863859 | lrm: 1.00 | dt: 204ms | tok/sec: 641,471 | mfu: 17.9% | epoch: 1 | remaining: 287s    
step 00076 (4.4%) | loss: 4.849472 | lrm: 1.00 | dt: 201ms | tok/sec: 650,949 | mfu: 18.2% | epoch: 1 | remaining: 287s    
step 00077 (4.4%) | loss: 4.832303 | lrm: 1.00 | dt: 203ms | tok/sec: 646,377 | mfu: 18.1% | epoch: 1 | remaining: 287s    
step 00078 (4.5%) | loss: 4.816270 | lrm: 1.00 | dt: 204ms | tok/sec: 643,017 | mfu: 18.0% | epoch: 1 | remaining: 286s    
step 00079 (4.6%) | loss: 4.802342 | lrm: 1.00 | dt: 203ms | tok/sec: 645,042 | mfu: 18.0% | epoch: 1 | remaining: 286s    
step 00080 (4.6%) | loss: 4.790580 | lrm: 1.00 | dt: 201ms | tok/sec: 650,510 | mfu: 18.2% | epoch: 1 | remaining: 286s    
step 00081 (4.7%) | loss: 4.780582 | lrm: 1.00 | dt: 201ms | tok/sec: 651,702 | mfu: 18.2% | epoch: 1 | remaining: 286s    
step 00082 (4.8%) | loss: 4.764391 | lrm: 1.00 | dt: 203ms | tok/sec: 644,149 | mfu: 18.0% | epoch: 1 | remaining: 286s    
step 00083 (4.8%) | loss: 4.749663 | lrm: 1.00 | dt: 203ms | tok/sec: 644,685 | mfu: 18.0% | epoch: 1 | remaining: 285s    
step 00084 (4.9%) | loss: 4.736621 | lrm: 1.00 | dt: 203ms | tok/sec: 646,038 | mfu: 18.1% | epoch: 1 | remaining: 285s    
step 00085 (5.0%) | loss: 4.726954 | lrm: 1.00 | dt: 202ms | tok/sec: 649,316 | mfu: 18.2% | epoch: 1 | remaining: 285s    
step 00086 (5.0%) | loss: 4.712885 | lrm: 1.00 | dt: 203ms | tok/sec: 645,405 | mfu: 18.1% | epoch: 1 | remaining: 285s    
step 00087 (5.1%) | loss: 4.695688 | lrm: 1.00 | dt: 204ms | tok/sec: 642,988 | mfu: 18.0% | epoch: 1 | remaining: 284s    
step 00088 (5.2%) | loss: 4.683379 | lrm: 1.00 | dt: 203ms | tok/sec: 645,174 | mfu: 18.0% | epoch: 1 | remaining: 284s    
step 00089 (5.2%) | loss: 4.669260 | lrm: 1.00 | dt: 203ms | tok/sec: 644,328 | mfu: 18.0% | epoch: 1 | remaining: 284s    
step 00090 (5.3%) | loss: 4.656340 | lrm: 1.00 | dt: 203ms | tok/sec: 645,012 | mfu: 18.0% | epoch: 1 | remaining: 284s    
step 00091 (5.4%) | loss: 4.647790 | lrm: 1.00 | dt: 214ms | tok/sec: 612,808 | mfu: 17.1% | epoch: 1 | remaining: 284s    
step 00092 (5.4%) | loss: 4.634231 | lrm: 1.00 | dt: 213ms | tok/sec: 614,319 | mfu: 17.2% | epoch: 1 | remaining: 283s    
step 00093 (5.5%) | loss: 4.618957 | lrm: 1.00 | dt: 213ms | tok/sec: 615,927 | mfu: 17.2% | epoch: 1 | remaining: 283s    
step 00094 (5.6%) | loss: 4.605385 | lrm: 1.00 | dt: 207ms | tok/sec: 633,953 | mfu: 17.7% | epoch: 1 | remaining: 283s    
step 00095 (5.7%) | loss: 4.587087 | lrm: 1.00 | dt: 207ms | tok/sec: 633,146 | mfu: 17.7% | epoch: 1 | remaining: 283s    
step 00096 (5.7%) | loss: 4.573374 | lrm: 1.00 | dt: 209ms | tok/sec: 626,429 | mfu: 17.5% | epoch: 1 | remaining: 283s    
step 00097 (5.8%) | loss: 4.558079 | lrm: 1.00 | dt: 204ms | tok/sec: 642,891 | mfu: 18.0% | epoch: 1 | remaining: 282s    
step 00098 (5.9%) | loss: 4.539533 | lrm: 1.00 | dt: 202ms | tok/sec: 649,421 | mfu: 18.2% | epoch: 1 | remaining: 282s    
step 00099 (5.9%) | loss: 4.525036 | lrm: 1.00 | dt: 203ms | tok/sec: 644,470 | mfu: 18.0% | epoch: 1 | remaining: 282s    
step 00100 (6.0%) | loss: 4.517330 | lrm: 1.00 | dt: 203ms | tok/sec: 645,617 | mfu: 18.1% | epoch: 1 | remaining: 282s    
step 00101 (6.1%) | loss: 4.506358 | lrm: 1.00 | dt: 204ms | tok/sec: 643,372 | mfu: 18.0% | epoch: 1 | remaining: 282s    
step 00102 (6.1%) | loss: 4.493436 | lrm: 1.00 | dt: 202ms | tok/sec: 647,597 | mfu: 18.1% | epoch: 1 | remaining: 281s    
step 00103 (6.2%) | loss: 4.477829 | lrm: 1.00 | dt: 207ms | tok/sec: 632,091 | mfu: 17.7% | epoch: 1 | remaining: 281s    
step 00104 (6.3%) | loss: 4.466248 | lrm: 1.00 | dt: 210ms | tok/sec: 624,068 | mfu: 17.5% | epoch: 1 | remaining: 281s    
step 00105 (6.3%) | loss: 4.453551 | lrm: 1.00 | dt: 209ms | tok/sec: 626,530 | mfu: 17.5% | epoch: 1 | remaining: 281s    
step 00106 (6.4%) | loss: 4.440552 | lrm: 1.00 | dt: 210ms | tok/sec: 623,635 | mfu: 17.4% | epoch: 1 | remaining: 281s    
step 00107 (6.5%) | loss: 4.427751 | lrm: 1.00 | dt: 203ms | tok/sec: 646,125 | mfu: 18.1% | epoch: 1 | remaining: 280s    
step 00108 (6.5%) | loss: 4.411795 | lrm: 1.00 | dt: 202ms | tok/sec: 647,870 | mfu: 18.1% | epoch: 1 | remaining: 280s    
step 00109 (6.6%) | loss: 4.396060 | lrm: 1.00 | dt: 201ms | tok/sec: 651,240 | mfu: 18.2% | epoch: 1 | remaining: 280s    
step 00110 (6.7%) | loss: 4.382256 | lrm: 1.00 | dt: 207ms | tok/sec: 633,017 | mfu: 17.7% | epoch: 1 | remaining: 280s    
step 00111 (6.7%) | loss: 4.374048 | lrm: 1.00 | dt: 213ms | tok/sec: 614,688 | mfu: 17.2% | epoch: 1 | remaining: 280s    
step 00112 (6.8%) | loss: 4.364011 | lrm: 1.00 | dt: 213ms | tok/sec: 615,859 | mfu: 17.2% | epoch: 1 | remaining: 279s    
step 00113 (6.9%) | loss: 4.354147 | lrm: 1.00 | dt: 205ms | tok/sec: 640,342 | mfu: 17.9% | epoch: 1 | remaining: 279s    
step 00114 (7.0%) | loss: 4.341314 | lrm: 1.00 | dt: 205ms | tok/sec: 639,640 | mfu: 17.9% | epoch: 1 | remaining: 279s    
step 00115 (7.0%) | loss: 4.329993 | lrm: 1.00 | dt: 204ms | tok/sec: 641,629 | mfu: 18.0% | epoch: 1 | remaining: 279s    
step 00116 (7.1%) | loss: 4.321036 | lrm: 1.00 | dt: 205ms | tok/sec: 638,705 | mfu: 17.9% | epoch: 1 | remaining: 279s    
step 00117 (7.2%) | loss: 4.306565 | lrm: 1.00 | dt: 203ms | tok/sec: 645,413 | mfu: 18.1% | epoch: 1 | remaining: 278s    
step 00118 (7.2%) | loss: 4.295302 | lrm: 1.00 | dt: 202ms | tok/sec: 647,810 | mfu: 18.1% | epoch: 1 | remaining: 278s    
step 00119 (7.3%) | loss: 4.283830 | lrm: 1.00 | dt: 204ms | tok/sec: 641,225 | mfu: 17.9% | epoch: 1 | remaining: 278s    
step 00120 (7.4%) | loss: 4.277016 | lrm: 1.00 | dt: 203ms | tok/sec: 645,344 | mfu: 18.1% | epoch: 1 | remaining: 278s    
step 00121 (7.4%) | loss: 4.263631 | lrm: 1.00 | dt: 203ms | tok/sec: 645,703 | mfu: 18.1% | epoch: 1 | remaining: 277s    
step 00122 (7.5%) | loss: 4.251922 | lrm: 1.00 | dt: 202ms | tok/sec: 647,650 | mfu: 18.1% | epoch: 1 | remaining: 277s    
step 00123 (7.6%) | loss: 4.236742 | lrm: 1.00 | dt: 203ms | tok/sec: 646,471 | mfu: 18.1% | epoch: 1 | remaining: 277s    
step 00124 (7.6%) | loss: 4.224971 | lrm: 1.00 | dt: 202ms | tok/sec: 647,847 | mfu: 18.1% | epoch: 1 | remaining: 277s    
step 00125 (7.7%) | loss: 4.212878 | lrm: 1.00 | dt: 203ms | tok/sec: 647,095 | mfu: 18.1% | epoch: 1 | remaining: 277s    
step 00126 (7.8%) | loss: 4.198450 | lrm: 1.00 | dt: 205ms | tok/sec: 640,334 | mfu: 17.9% | epoch: 1 | remaining: 276s    
step 00127 (7.8%) | loss: 4.189925 | lrm: 1.00 | dt: 203ms | tok/sec: 646,098 | mfu: 18.1% | epoch: 1 | remaining: 276s    
step 00128 (7.9%) | loss: 4.181990 | lrm: 1.00 | dt: 202ms | tok/sec: 647,925 | mfu: 18.1% | epoch: 1 | remaining: 276s    
step 00129 (8.0%) | loss: 4.166732 | lrm: 1.00 | dt: 204ms | tok/sec: 641,481 | mfu: 17.9% | epoch: 1 | remaining: 276s    
step 00130 (8.0%) | loss: 4.155681 | lrm: 1.00 | dt: 201ms | tok/sec: 652,230 | mfu: 18.2% | epoch: 1 | remaining: 276s    
step 00131 (8.1%) | loss: 4.140423 | lrm: 1.00 | dt: 203ms | tok/sec: 645,750 | mfu: 18.1% | epoch: 1 | remaining: 275s    
step 00132 (8.2%) | loss: 4.133577 | lrm: 1.00 | dt: 203ms | tok/sec: 646,775 | mfu: 18.1% | epoch: 1 | remaining: 275s    
step 00133 (8.2%) | loss: 4.126033 | lrm: 1.00 | dt: 204ms | tok/sec: 643,289 | mfu: 18.0% | epoch: 1 | remaining: 275s    
step 00134 (8.3%) | loss: 4.112439 | lrm: 1.00 | dt: 202ms | tok/sec: 647,640 | mfu: 18.1% | epoch: 1 | remaining: 275s    
step 00135 (8.4%) | loss: 4.107337 | lrm: 1.00 | dt: 202ms | tok/sec: 647,864 | mfu: 18.1% | epoch: 1 | remaining: 275s    
step 00136 (8.4%) | loss: 4.094577 | lrm: 1.00 | dt: 202ms | tok/sec: 648,759 | mfu: 18.2% | epoch: 1 | remaining: 274s    
step 00137 (8.5%) | loss: 4.083200 | lrm: 1.00 | dt: 203ms | tok/sec: 644,472 | mfu: 18.0% | epoch: 1 | remaining: 274s    
step 00138 (8.6%) | loss: 4.067587 | lrm: 1.00 | dt: 202ms | tok/sec: 648,449 | mfu: 18.1% | epoch: 1 | remaining: 274s    
step 00139 (8.6%) | loss: 4.056935 | lrm: 1.00 | dt: 202ms | tok/sec: 648,897 | mfu: 18.2% | epoch: 1 | remaining: 274s    
step 00140 (8.7%) | loss: 4.042770 | lrm: 1.00 | dt: 203ms | tok/sec: 644,480 | mfu: 18.0% | epoch: 1 | remaining: 274s    
step 00141 (8.8%) | loss: 4.033479 | lrm: 1.00 | dt: 203ms | tok/sec: 645,619 | mfu: 18.1% | epoch: 1 | remaining: 273s    
step 00142 (8.9%) | loss: 4.025494 | lrm: 1.00 | dt: 204ms | tok/sec: 643,799 | mfu: 18.0% | epoch: 1 | remaining: 273s    
step 00143 (8.9%) | loss: 4.017580 | lrm: 1.00 | dt: 203ms | tok/sec: 644,839 | mfu: 18.0% | epoch: 1 | remaining: 273s    
step 00144 (9.0%) | loss: 4.009110 | lrm: 1.00 | dt: 203ms | tok/sec: 645,344 | mfu: 18.1% | epoch: 1 | remaining: 273s    
step 00145 (9.1%) | loss: 4.002837 | lrm: 1.00 | dt: 202ms | tok/sec: 649,317 | mfu: 18.2% | epoch: 1 | remaining: 273s    
step 00146 (9.1%) | loss: 3.996208 | lrm: 1.00 | dt: 203ms | tok/sec: 644,772 | mfu: 18.0% | epoch: 1 | remaining: 272s    
step 00147 (9.2%) | loss: 3.982821 | lrm: 1.00 | dt: 203ms | tok/sec: 646,319 | mfu: 18.1% | epoch: 1 | remaining: 272s    
step 00148 (9.3%) | loss: 3.980193 | lrm: 1.00 | dt: 204ms | tok/sec: 642,035 | mfu: 18.0% | epoch: 1 | remaining: 272s    
step 00149 (9.3%) | loss: 3.971956 | lrm: 1.00 | dt: 203ms | tok/sec: 645,300 | mfu: 18.1% | epoch: 1 | remaining: 272s    
step 00150 (9.4%) | loss: 3.963374 | lrm: 1.00 | dt: 203ms | tok/sec: 646,946 | mfu: 18.1% | epoch: 1 | remaining: 272s    
step 00151 (9.5%) | loss: 3.955433 | lrm: 1.00 | dt: 202ms | tok/sec: 647,620 | mfu: 18.1% | epoch: 1 | remaining: 271s    
step 00152 (9.5%) | loss: 3.946266 | lrm: 1.00 | dt: 203ms | tok/sec: 646,865 | mfu: 18.1% | epoch: 1 | remaining: 271s    
step 00153 (9.6%) | loss: 3.938706 | lrm: 1.00 | dt: 203ms | tok/sec: 644,638 | mfu: 18.0% | epoch: 1 | remaining: 271s    
step 00154 (9.7%) | loss: 3.931270 | lrm: 1.00 | dt: 203ms | tok/sec: 644,492 | mfu: 18.0% | epoch: 1 | remaining: 271s    
step 00155 (9.7%) | loss: 3.925410 | lrm: 1.00 | dt: 203ms | tok/sec: 644,561 | mfu: 18.0% | epoch: 1 | remaining: 271s    
step 00156 (9.8%) | loss: 3.918959 | lrm: 1.00 | dt: 203ms | tok/sec: 644,185 | mfu: 18.0% | epoch: 1 | remaining: 270s    
